ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,marked_choice,Total,Legend
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Paris
,,,,,,,,,,,3,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,17,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,8
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Skip this question
,,,,,,,,,,,2,Correct Choices
,,,,,,,,,,,0,Wrong Choices
,,,,,,,,,,,1,Unattempted
,,,,,,,,,,,9,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,Skip this question
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,0
,,,,,,,,,,,1,Correct Choices
,,,,,,,,,,,1,Wrong Choices
,,,,,,,,,,,1,Unattempted
,,,,,,,,,,,4,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Skip this question
2,4+4 =?,4,7,9,8,4,4,-1,Yes,4
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,0
,,,,,,,,,,,0,Correct Choices
,,,,,,,,,,,2,Wrong Choices
,,,,,,,,,,,1,Unattempted
,,,,,,,,,,,-1,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Skip this question
2,4+4 =?,4,7,9,8,4,4,-1,Yes,4
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,0
,,,,,,,,,,,0,Correct Choices
,,,,,,,,,,,2,Wrong Choices
,,,,,,,,,,,1,Unattempted
,,,,,,,,,,,-1,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,4
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,0
,,,,,,,,,,,1,Correct Choices
,,,,,,,,,,,2,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,4,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,Skip this question
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,London
,,,,,,,,,,,1,Correct Choices
,,,,,,,,,,,1,Wrong Choices
,,,,,,,,,,,1,Unattempted
,,,,,,,,,,,2,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,7
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Patna
,,,,,,,,,,,1,Correct Choices
,,,,,,,,,,,2,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,2,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,4
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,London
,,,,,,,,,,,1,Correct Choices
,,,,,,,,,,,2,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,2,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,0
2,4+4 =?,4,7,9,8,4,4,-1,Yes,0
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,0
,,,,,,,,,,,0,Correct Choices
,,,,,,,,,,,3,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,0,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Skip this question
2,4+4 =?,4,7,9,8,4,4,-1,Yes,4
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,Skip this question
,,,,,,,,,,,0,Correct Choices
,,,,,,,,,,,1,Wrong Choices
,,,,,,,,,,,2,Unattempted
,,,,,,,,,,,-1,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
2,4+4 =?,4,7,9,8,4,4,-1,Yes,0
3,Capital of France?,Paris,Patna,Amhara,London,1,8,-2,No,0
,,,,,,,,,,,1,Correct Choices
,,,,,,,,,,,2,Wrong Choices
,,,,,,,,,,,0,Unattempted
,,,,,,,,,,,5,Marks Obtained
,,,,,,,,,,,17,Total Quiz Marks
1,What is the capital of Telangana?,Hyderabad,Chennai,New Delhi,Kolkata,1,5,-1,No,Hyderabad
